
time,time ns,angle,cadence,motorTargetCadence,pid,corrente effettiva Quad Sx,corrente effettiva Glut Sx,corrente effettiva Hams Sx,corrente effettiva Gastro Sx,corrente effettiva Quad Dx,corrente effettiva Glut Dx,corrente effettiva Hams Dx,corrente effettiva Gastro Dx,duty_cycle,motor_current,stimDistance,totalDistance,linearVelocity,powerLeft,powerRight,newDataLeft,newDataRight,connectedLeft,connectedRight,heart-rate
166321,-1183367125,135.015,35.5822,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166331,-1173366995,137.212,35.5822,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166341,-1163367421,139.519,35.5822,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166351,-1153367477,141.694,35.5822,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166361,-1143367532,143.958,36.4874,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166371,-1133367791,146.133,37.6123,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166381,-1123367588,148.33,38.0046,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166391,-1113367532,150.571,38.1413,35,0,0,0,0,0,0,0,0,0,39,27.8525,92.224,127.856,12.2295,1,0,0,0,1,1,0
166403,-1101104458,152.791,38.189,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166411,-1093367458,154.9,38.2056,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166421,-1083364532,157.119,38.2114,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166431,-1073366903,159.25,38.2134,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166441,-1063366977,161.47,38.2142,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166451,-1053366384,163.645,38.2144,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166461,-1043367143,165.886,38.2145,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166471,-1033367403,167.996,38.2145,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166481,-1023367384,170.171,38.2145,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166491,-1013367088,172.412,38.2145,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166501,-1003367643,174.565,37.3693,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166511,-993367606,176.675,36.8646,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166521,-983366143,178.872,36.6886,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166531,-973367643,181.069,36.6272,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166541,-963367421,183.354,36.6058,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166551,-953366958,185.596,36.5984,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166561,-943367680,187.903,36.5958,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166571,-933367199,190.364,36.5949,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166581,-923366847,192.825,36.5945,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166591,-913366829,195.044,36.5944,35,0,0,0,0,0,0,0,0,0,37,29.1611,92.224,127.856,12.2295,1,0,0,0,1,1,0
166609,-895049718,197.241,36.5944,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166611,-893367273,199.526,36.5944,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166621,-883367384,201.724,36.5944,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166631,-873367421,204.009,36.8534,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166641,-863367477,206.382,37.3073,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166651,-853366495,208.623,37.4656,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166661,-843367606,210.908,37.5207,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166671,-833367588,213.04,37.54,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166681,-823311236,215.259,37.5467,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166691,-813310310,217.324,37.549,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166701,-803314440,219.521,37.5498,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166711,-793314310,221.565,37.5501,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166721,-783308755,223.608,37.5502,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166731,-773309977,225.762,37.5503,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166741,-763310088,227.871,37.5503,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166751,-753310606,229.915,37.5503,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166761,-743311106,231.98,37.5503,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166771,-733311273,234.133,37.0787,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166781,-723311810,236.133,36.2525,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166791,-713311421,238.352,35.9644,35,0,0,0,0,0,0,0,0,0,37,22.1645,92.224,127.856,12.2295,1,0,0,0,1,1,0
166805,-698929995,240.374,35.864,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166811,-693310107,242.483,35.8289,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166821,-683312032,244.548,35.8167,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166831,-673311477,246.899,35.8125,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166841,-663312014,249.053,35.811,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166851,-653311440,251.228,35.8105,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166861,-643311588,253.557,35.8103,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166871,-633310958,255.798,35.8102,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166881,-623280088,258.04,35.8102,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166891,-613298384,260.215,35.8102,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166901,-603305070,262.478,35.8102,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
166911,-593307384,264.719,36.0879,35,0,0,0,0,0,0,0,0,0,37,20.7792,92.224,127.856,12.2295,1,0,0,0,1,1,0
