
time,time ns,angle,cadence,motorTargetCadence,pid,corrente effettiva Quad Sx,corrente effettiva Glut Sx,corrente effettiva Hams Sx,corrente effettiva Gastro Sx,corrente effettiva Quad Dx,corrente effettiva Glut Dx,corrente effettiva Hams Dx,corrente effettiva Gastro Dx,duty_cycle,motor_current,stimDistance,totalDistance,linearVelocity,powerLeft,powerRight,newDataLeft,newDataRight,connectedLeft,connectedRight,heart-rate
427151,1948640978,257.688,23.0943,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427161,1958637849,259.292,23.192,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427171,1968637645,260.896,23.226,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427181,1978668349,262.478,23.2379,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427191,1988651126,264.192,23.242,50,0,0,0,0,0,0,0,0,0,55,204.48,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427204,2001770163,265.818,23.2435,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427211,2008653163,267.488,23.244,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427221,2018651460,269.224,23.2441,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427231,2028673108,270.828,23.2442,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427241,2038688034,272.52,23.2442,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427251,2048691663,274.211,23.2442,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427261,2058653904,275.925,23.2442,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427271,2068653200,277.617,23.2442,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427281,2078670404,279.441,23.2442,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427291,2088652663,281.133,23.2442,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427301,2098651163,282.957,23.2442,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427311,2108651700,284.626,25.5786,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427321,2118651330,286.252,26.9725,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427331,2128651126,287.922,27.4585,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427341,2138651163,289.592,27.628,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427351,2148653663,291.262,27.6871,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427361,2158651052,292.91,27.7077,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427371,2168661126,294.558,27.7149,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427381,2178685367,296.228,27.7174,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427391,2188690608,297.81,27.7183,50,0,0,0,0,0,0,0,0,0,57,227.106,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427410,2207834311,299.546,27.7186,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427411,2208776960,301.216,27.7187,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427421,2218652330,302.864,27.7187,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427431,2228651423,304.556,27.7187,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427441,2238650849,306.248,27.7187,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427451,2248654737,307.917,27.7187,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427461,2258650700,309.631,27.7187,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427471,2268712478,311.279,27.7187,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427481,2278650867,312.949,27.7187,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427491,2288652552,314.663,27.7672,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427501,2298651034,316.509,27.7962,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427511,2308650404,318.179,27.8063,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427521,2318650126,319.937,27.8098,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427531,2328680552,321.804,27.811,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427541,2338653219,323.518,27.8115,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427551,2348757571,325.518,27.8116,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427561,2358683626,327.253,27.8117,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427571,2368677645,329.165,27.8117,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427581,2378646441,331.099,27.8117,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427591,2388649145,332.944,27.8117,50,0,0,0,0,0,0,0,0,0,57,233.518,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427606,2403983219,334.702,27.8117,50,0,0,0,0,0,0,0,0,0,60,230.542,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427611,2408637608,336.592,27.8117,50,0,0,0,0,0,0,0,0,0,60,230.542,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427621,2418637089,338.591,27.8117,50,0,0,0,0,0,0,0,0,0,60,230.542,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427631,2428631589,340.525,27.8117,50,0,0,0,0,0,0,0,0,0,60,230.542,955.778,1029.14,0.239581,0,0,0,0,1,1,0
427641,2438637145,342.524,27.8117,50,0,0,0,0,0,0,0,0,0,60,230.542,955.778,1029.14,0.239581,0,0,0,0,1,1,0
